Year,Candian Dollar Index
2005,0.8251730902571488
2006,0.8838808926296391
2007,0.9305073984745286
2008,0.9556293225021246
2009,0.8747521754498813
2010,0.9636196032363405
2011,1.016032397544755
2012,0.9990537499797741
2013,0.9716702296215769
2014,0.9084945603442093
2015,0.7884761556837697
2016,0.7550479804188258
2017,0.7677978777439952
2018,0.7746678559565604
2019,0.7517786881556724
2020,0.7423541120219456
