Year,Quarter,        Gross domestic product,Private industries,"    Agriculture, forestry, fishing, and hunting",        Farms,"        Forestry, fishing, and related activities",    Mining,        Oil and gas extraction,"        Mining, except oil and gas",        Support activities for mining,    Utilities,    Construction,    Manufacturing,        Durable goods,            Wood products,            Nonmetallic mineral products,            Primary metals,            Fabricated metal products,            Machinery,            Computer and electronic products,"            Electrical equipment, appliances, and components","            Motor vehicles, bodies and trailers, and parts",            Other transportation equipment,            Furniture and related products,            Miscellaneous manufacturing,        Nondurable goods,            Food and beverage and tobacco products,            Textile mills and textile product mills,            Apparel and leather and allied products,            Paper products,            Printing and related support activities,            Petroleum and coal products,            Chemical products,            Plastics and rubber products,    Wholesale trade,    Retail trade,        Motor vehicle and parts dealers,        Food and beverage stores,        General merchandise stores,        Other retail,    Transportation and warehousing,        Air transportation,        Rail transportation,        Water transportation,        Truck transportation,        Transit and ground passenger transportation,        Pipeline transportation,        Other transportation and support activities,        Warehousing and storage,    Information,"        Publishing industries, except internet (includes software)",        Motion picture and sound recording industries,        Broadcasting and telecommunications,"        Data processing, internet publishing, and other information services","    Finance, insurance, real estate, rental, and leasing",        Finance and insurance,"            Federal Reserve banks, credit intermediation, and related activities","            Securities, commodity contracts, and investments",            Insurance carriers and related activities,"            Funds, trusts, and other financial vehicles",        Real estate and rental and leasing,            Real estate,                Housing,                Other real estate,            Rental and leasing services and lessors of intangible assets,    Professional and business services,"        Professional, scientific, and technical services",            Legal services,            Computer systems design and related services,"            Miscellaneous professional, scientific, and technical services",        Management of companies and enterprises,        Administrative and waste management services,            Administrative and support services,            Waste management and remediation services,"    Educational services, health care, and social assistance",        Educational services,        Health care and social assistance,            Ambulatory health care services,            Hospitals,            Nursing and residential care facilities,            Social assistance,"    Arts, entertainment, recreation, accommodation, and food services","        Arts, entertainment, and recreation","            Performing arts, spectator sports, museums, and related activities","            Amusements, gambling, and recreation industries",        Accommodation and food services,            Accommodation,            Food services and drinking places,"    Other services, except government",Government,    Federal,        General government,            National defense,            Nondefense,        Government enterprises,    State and local,        General government,        Government enterprises,    Addenda:,            Private goods-producing industries1,            Private services-producing industries2,            Information-communications-technology-producing industries3
2016,Q2,18656.2,16279.1,170.6,134.8,35.8,212.3,135.4,46.3,30.5,298.2,738.6,2101.7,1182.8,35,57.4,56.5,145.6,143.7,265.7,58.8,154.4,147.9,30.3,87.6,918.9,264.5,18.4,9.6,59.4,41,84.9,360.9,80.3,1130.4,1047.9,200,148.7,141.3,557.9,581.8,130.8,39.1,13.8,148,42.8,40.1,110,57.2,961.2,232.2,91.8,443.4,193.8,3916.9,1435,588.6,262.8,565.6,18.1,2481.8,2259.6,1817.9,441.7,222.2,2292,1388.6,250.9,303,834.6,349.4,554,506.7,47.3,1647.4,246,1401.4,681.6,458.6,142.6,118.5,781.8,204,119.5,84.5,577.8,159.3,418.5,398.3,2377.2,740.8,682.8,399.1,283.7,58,1636.4,1494.4,142,,3223.1,13055.9,---
2016,Q3,18821.4,16428.9,167,131.5,35.5,222.6,144.1,48.1,30.4,306.9,748.9,2099.1,1186,35.6,57.4,56.9,145.3,142.7,267.2,57.9,155.7,148.9,30.1,88.3,913.1,265.9,18.4,9.5,57.4,40.8,81.5,360.3,79.2,1132.2,1054.8,202.3,148.1,144.8,559.5,580.4,129.1,39.9,13,147.8,42.8,38,111,58.6,974.4,234.6,94,448.3,197.6,3989.4,1494.3,618.5,274.9,581.3,19.6,2495.1,2274.3,1835.2,439.1,220.8,2303.1,1392.5,251.4,304.5,836.6,351.2,559.4,511.7,47.8,1654.8,246.3,1408.5,682.4,461.4,143.9,120.8,794.3,210.1,125,85.1,584.2,160.1,424.1,401,2392.4,745.4,686.8,400.2,286.6,58.7,1647,1504.7,142.3,,3237.6,13191.3,---
2016,Q4,19032.6,16628.2,160,124,36,239.9,158.2,49.7,32,306.5,769.2,2100.8,1191.8,35.9,58,57.9,146.2,142.6,271.4,56.8,157,146.9,30.2,88.7,909,264.4,18.4,9.6,56.5,40.9,86.7,353.7,79,1136.7,1063.9,204.4,148.9,146.4,564.2,590.5,132.3,40.5,12.6,149.3,43.5,39.7,112.9,59.8,980.7,237.8,94,447.5,201.4,4053.9,1531.6,639.6,282.3,588.9,20.8,2522.4,2303.1,1857.8,445.3,219.3,2340.3,1412.1,255.4,312.5,844.2,355.2,573,523.9,49.1,1679.9,249.4,1430.5,696.8,467.4,144.3,122,802.4,212.5,126.4,86.1,589.9,161.5,428.4,403.3,2404.4,749.9,690.3,401.1,289.2,59.6,1654.5,1511.7,142.8,,3269.9,13358.3,---
2017,Q1,19237.4,16816.8,183.3,147,36.3,259.5,169.9,53.1,36.5,304.5,785.3,2136.1,1204.5,36.9,59.5,59,146.4,146.2,274.4,58.6,157.1,147.3,29.8,89.1,931.6,263,18.4,9.5,55,40.8,110,356.7,78.2,1145.7,1073.6,205.4,150.5,146.3,571.4,596.2,132.4,41.3,12.7,152.4,44.3,40,113.2,59.9,988.7,241.9,96.8,442.8,207.2,4060.9,1500.9,632.2,285.6,562.7,20.5,2559.9,2340.1,1886.9,453.1,219.9,2375.5,1427.8,254.8,316.8,856.2,361.5,586.3,535.2,51.1,1690,248.3,1441.7,702.8,470.9,144.7,123.3,810.5,211.8,126.3,85.4,598.7,164.4,434.3,406.9,2420.7,755.1,694.1,402.1,292,61,1665.5,1522.2,143.3,,3364.3,13452.5,---
2017,Q2,19379.2,16943.8,180.2,143.9,36.3,265.8,167.2,56.6,42.1,311.9,788.1,2154.2,1214.6,37,60.6,58.6,148.3,149.5,275.3,59.9,158,148.8,29.4,89.2,939.6,267.5,18.1,9.4,54.4,40,118.9,354.3,76.9,1156.3,1077.4,206,151.9,145.8,573.7,604,134.6,41.2,12.8,155.8,44.9,39.3,114,61.4,996.6,245.7,94.3,442.1,214.5,4069.9,1478.7,608.9,294.8,554.7,20.3,2591.2,2368,1907.7,460.3,223.2,2410.8,1446.3,256.8,323.5,866,367.3,597.2,544.7,52.5,1699.1,247.1,1452,708.5,473.2,145.4,124.9,819.1,213.6,126.7,86.9,605.5,166.4,439.1,410.5,2435.5,758.7,696.7,402.6,294.1,62,1676.8,1532.5,144.2,,3388.3,13555.4,---
2017,Q3,19617.3,17160.2,170.5,134,36.5,271.1,168.9,56.8,45.4,309,801,2190.8,1232.6,37.5,61.3,58.3,149.9,154.4,280.7,59.9,157,153.5,29.6,90.3,958.2,267.9,18,9.4,55.1,40.3,132.7,357.8,77.1,1166.8,1087.1,207.8,152.6,146.9,579.8,609.5,133.5,40.6,13.2,157,46.2,40.9,115.3,62.8,1010.8,251.9,92.9,445.2,220.8,4135.1,1520.7,627,309.7,560,24,2614.4,2386.7,1921.5,465.2,227.7,2447.3,1466.1,257.9,327.4,880.8,373.8,607.3,552.7,54.6,1711.8,248.5,1463.3,714.7,476.2,145.7,126.7,832.1,220.9,132.9,88,611.1,168,443.2,417.3,2457.1,764.6,701.9,405,296.9,62.7,1692.6,1546.9,145.7,,3433.4,13726.8,---
2017,Q4,19938,17456.3,172.5,135.4,37.1,299.7,192.6,58.9,48.2,315,816.9,2248.3,1257.3,38.6,62.6,59.7,152.3,156.3,289.1,61.3,158.8,155.9,30.1,92.6,991,264.4,17.8,9.5,56.3,40,160.4,364.6,78.1,1185.3,1095.9,210.2,152.8,147.5,585.4,618.3,133.5,41.5,13.4,159.1,45.6,43,117.1,65.2,1025.6,260.7,90.5,444.3,230,4201.5,1552.8,635.5,327.2,565.1,25,2648.7,2415,1941,473.9,233.7,2490.7,1486.8,262.4,331.4,893,387.6,616.2,560.2,56,1727.9,250,1477.9,720.7,481.4,147.6,128.3,836.3,219.1,130.9,88.2,617.2,169.9,447.3,422.4,2481.7,771.5,708.4,408.3,300.2,63.1,1710.2,1562.5,147.6,,3537.5,13918.8,---
2018,Q1,20242.2,17733.1,181,142.8,38.2,313.2,201.5,59.4,52.3,319.9,835.4,2278.4,1270.6,39.5,62.1,62.1,155.3,160.3,289.2,62.6,157.6,157.4,30.6,93.9,1007.7,263.5,17.4,9.4,58,40,169,370.1,80.3,1190.3,1106.8,211.7,153.6,149.4,592.1,634.4,137.4,42.8,13.9,163,44.5,44.4,120.5,67.9,1029.2,264.2,86,447.9,231.1,4287.2,1597,666.4,308.4,593.6,28.5,2690.3,2446.1,1961.8,484.3,244.2,2523.7,1517.2,265.6,338.8,912.9,385.9,620.5,562.5,58,1756.2,254.5,1501.7,733.7,487.9,149.7,130.3,849.1,221.1,130.8,90.2,628,174.3,453.7,428.5,2509.1,779.8,716.2,412.6,303.7,63.6,1729.2,1579.2,150.1,,3607.9,14125.2,---
2018,Q2,20552.7,18016.2,184.3,146,38.3,331.4,212.7,60.7,57.9,322.7,845.1,2306.8,1281.6,40.6,62.9,64.6,157.2,159.5,295.2,63.1,157.2,156.4,30.9,94.1,1025.2,262,17.4,9.4,59.9,39.6,179.7,376.4,80.8,1203.5,1116.4,213.7,153.6,150.8,598.3,644.2,137,44.6,14.5,165.9,45,44.6,122.8,69.9,1062.1,277.9,85.2,455.5,243.4,4361.5,1638.6,689.5,315.3,603.6,30.2,2722.9,2474.3,1982.9,491.4,248.7,2562.2,1547.2,272.8,348,926.4,387.2,627.8,568.7,59.1,1773.8,257.1,1516.7,739.5,493,151.6,132.5,866.6,230.7,139.9,90.7,635.9,177.8,458.1,435.7,2536.4,787,723.6,417,306.6,63.5,1749.4,1597.2,152.2,,3667.6,14348.6,---
2018,Q3,20742.7,18176.4,172.6,134.3,38.3,342.2,226.2,58.1,57.9,317.6,851.7,2320.4,1292.8,40.9,62.8,65.8,157.9,160.4,295.7,63.9,160.9,159.1,30.9,94.5,1027.6,259.1,17.4,9.4,60.5,39.3,183.9,376.8,81.3,1212.6,1118.4,214.4,154.4,149.9,599.7,653.1,137.3,45,14.5,167.3,46.6,47.1,124,71.3,1072.1,285.7,82.6,457.2,246.6,4427.5,1672.9,707.1,320.3,614.4,31.1,2754.6,2502.5,2011,491.6,252,2590.4,1559,273.3,356.5,929.2,397.9,633.5,573.8,59.7,1786.6,259.3,1527.3,744.1,495.1,153.3,134.7,871,231.2,139.7,91.5,639.8,176.6,463.2,440.3,2566.3,793.9,730.9,421.6,309.3,63,1772.4,1618,154.4,,3686.9,14489.5,---
2018,Q4,20909.9,18323,176.4,137.9,38.4,336.5,218.8,59.6,58.1,327.1,860.5,2351.9,1305.5,40.5,63.1,66.4,159.3,160.5,299.5,64.7,161.1,164.6,31,94.7,1046.5,257.6,17.3,9.3,61.3,39.7,195.3,384.1,81.9,1237,1121.4,215.5,155.6,150.4,599.9,671.3,142.1,45.6,14.7,171.5,48.4,48.2,127.8,72.9,1075.8,283.5,82.6,457.4,252.3,4411.5,1626.1,693.1,304,600.4,28.6,2785.4,2530.3,2033.1,497.3,255,2614.8,1572.1,273,360,939.1,398.2,644.5,583.4,61.1,1811.2,262.9,1548.4,754.3,502,154.4,137.6,880.3,231.9,139,92.9,648.5,182.3,466.2,447.2,2586.9,798.7,736.3,424.8,311.5,62.4,1788.2,1632,156.2,,3725.3,14597.7,---
2019,Q1,21115.3,18508.9,170.3,131.9,38.4,316.9,198.1,59.8,59.1,329.2,880.1,2323.9,1318.2,40.6,63.6,65.4,161,162.9,303.3,65.2,162.6,167,31,95.6,1005.7,258.3,17.5,9.3,60.9,39.8,154.7,383,82.1,1257,1139.5,219.6,157.7,150.6,611.6,682.3,143,45.3,15.1,172.1,54.8,49.1,131.2,71.7,1094.7,295,84.2,461.1,254.5,4470.4,1649.8,703.2,319.6,598.7,28.3,2820.6,2565.8,2057.2,508.6,254.8,2668.3,1608.9,274.9,374.3,959.8,408.9,650.5,588.9,61.5,1834.3,264.6,1569.7,766.4,506.6,156,140.7,889.1,234.3,140.9,93.4,654.8,183.6,471.2,452.9,2606.4,805.6,743.1,428.6,314.5,62.5,1800.9,1643.3,157.6,,3691.3,14817.6,---
2019,Q2,21329.9,18703.8,172.8,133.7,39,319.2,199.5,61.4,58.3,332.7,887.4,2340.7,1319.2,40.9,64.5,64.3,160.6,162.5,304.6,65.8,163.9,164.5,31.1,96.7,1021.5,262.2,17.3,9.4,61.2,40.2,161.8,386.7,82.8,1253.8,1156,223.6,159.5,152,620.8,690.7,146.2,45.6,15,174.5,53.4,49.9,132.1,74,1122.3,300.1,88.3,463.8,270.1,4523.3,1663.7,704.7,316.5,613,29.5,2859.6,2598.9,2081.4,517.5,260.7,2693.1,1624.9,275.2,378.1,971.5,412.2,656.1,593.7,62.4,1853.5,267.9,1585.6,773.3,512.1,157.4,142.9,900.3,236.3,141.8,94.5,664,185.5,478.5,458.1,2626,809.8,747.7,431.4,316.3,62.1,1816.3,1657,159.3,,3720.1,14983.7,---
2019,Q3,21540.3,18887.2,178,138.6,39.4,301.2,186,61.2,53.9,338.6,897.7,2348.7,1317.7,41.4,65.9,64.1,161.5,162.5,299.5,66.3,164.8,163.7,31.1,96.9,1031,269.4,17.2,9.3,61.5,40.6,154.1,395.4,83.4,1268,1173.2,227,162,152.5,631.7,703.6,149,45.1,15,176.6,55.8,51.3,135.3,75.4,1137,304.6,88.9,469.7,273.7,4557.9,1656.5,706.2,304.6,616,29.6,2901.4,2633.8,2104.4,529.4,267.6,2727.6,1651.9,282.7,377.3,992,410.8,664.9,601.9,63,1875.4,271.6,1603.8,782.8,516.9,158.6,145.5,916,240.4,145.1,95.3,675.6,188.8,486.8,464.4,2653.1,816.6,754.4,434.9,319.4,62.2,1836.6,1675.7,160.8,,3725.5,15161.7,---
2019,Q4,21747.4,19075.1,180.4,140.1,40.3,300.6,188.8,60.9,50.8,340.6,905.5,2370.1,1328,42.1,65.9,63.1,161.7,162.5,308.3,66.2,164.7,164.3,31.4,97.7,1042.1,270.1,17,9.2,61.2,40.5,161.7,398,84.4,1270.4,1180.3,228.5,163,154.1,634.7,710,150,43.6,15,176.8,57.1,51.8,136.7,79,1156.1,313.3,90,471.9,280.9,4615.5,1693.2,721.5,309.2,632.4,30.2,2922.3,2658.3,2122.9,535.4,264,2753.9,1668,285,377.4,1005.6,413.6,672.3,609.1,63.2,1898.4,275.3,1623.1,792.8,522.6,160.1,147.6,923.4,243.5,146.4,97.1,680,190,490,469.7,2672.3,822.2,759.5,438.7,320.7,62.7,1850.1,1687.7,162.5,,3756.6,15318.4,---
2020,Q1,21561.1,18879,190.2,149.8,40.3,248.3,138.8,59.8,49.6,333.8,914.6,2346.3,1309.7,42.3,65.8,63.5,161,160.4,306.8,66.5,155.9,158.2,31.5,97.9,1036.6,268.9,17,9.2,61,40.7,155.1,400.3,84.5,1258.6,1180.7,224.5,170.4,154.3,631.5,686,127.2,43.2,15,176.6,54.1,51.8,138.3,79.8,1156.8,317.5,85,468.7,285.5,4607.5,1663.9,700.4,311.6,622.5,29.4,2943.6,2685.9,2141.6,544.3,257.7,2751.7,1670.5,286.2,378.1,1006.2,412.2,668.9,604.9,64,1881,275.2,1605.8,781.7,513.9,161.3,148.9,863.4,227.3,135.5,91.9,636,174.8,461.3,460.2,2682.2,828.2,764,440.6,323.4,64.3,1854,1695,159,,3699.3,15179.6,---
2020,Q2,19520.1,16925.5,142.4,107.5,34.8,136.3,49.7,53.2,33.3,333.2,853.7,2053.7,1145.5,38,64.3,54.7,138.9,144,300.5,60.6,95.3,119.5,28.8,101.1,908.2,267.4,13.6,8,59.1,35,55.3,393.2,76.6,1111.9,1102.1,205.7,174,147.7,574.7,520.2,27.1,37.5,9.1,154.2,31.5,47.2,136.7,76.9,1115.7,315.7,56.4,458.2,285.3,4564.7,1699.8,719.5,315.2,634.9,30.2,2864.8,2670.5,2153.1,517.4,194.4,2524.9,1547.4,272.4,361.2,913.9,397.6,579.9,522.2,57.7,1619.5,244.6,1374.9,622.9,474.6,152.1,125.3,476.3,98.2,54.5,43.8,378.1,72.8,305.3,371,2594.6,837.7,772.1,446.1,326,65.6,1756.9,1632.4,124.6,,3186,13739.4,---
