"MSN","YYYYMM","Value","Column_Order","Description","Unit"
"HVEGBUS","197508","235.302","1","Conventional Hydroelectric Power Consumed by the Electric Power Sector","Trillion Btu"
"HVEGBUS","197509","213.525","1","Conventional Hydroelectric Power Consumed by the Electric Power Sector","Trillion Btu"
"HVEGBUS","197510","235.581","1","Conventional Hydroelectric Power Consumed by the Electric Power Sector","Trillion Btu"
"HVEGBUS","197511","254.21","1","Conventional Hydroelectric Power Consumed by the Electric Power Sector","Trillion Btu"
"HVEGBUS","197512","270.322","1","Conventional Hydroelectric Power Consumed by the Electric Power Sector","Trillion Btu"
"HVEGBUS","197513","3122.285","1","Conventional Hydroelectric Power Consumed by the Electric Power Sector","Trillion Btu"
"HVEGBUS","197601","270.423","1","Conventional Hydroelectric Power Consumed by the Electric Power Sector","Trillion Btu"
"HVEGBUS","197602","254.351","1","Conventional Hydroelectric Power Consumed by the Electric Power Sector","Trillion Btu"
"HVEGBUS","197603","275.535","1","Conventional Hydroelectric Power Consumed by the Electric Power Sector","Trillion Btu"
"HVEGBUS","197604","250.37","1","Conventional Hydroelectric Power Consumed by the Electric Power Sector","Trillion Btu"
"HVEGBUS","197605","264.678","1","Conventional Hydroelectric Power Consumed by the Electric Power Sector","Trillion Btu"
"HVEGBUS","197606","265.163","1","Conventional Hydroelectric Power Consumed by the Electric Power Sector","Trillion Btu"
"HVEGBUS","197607","270.36","1","Conventional Hydroelectric Power Consumed by the Electric Power Sector","Trillion Btu"
"HVEGBUS","197608","247.319","1","Conventional Hydroelectric Power Consumed by the Electric Power Sector","Trillion Btu"
"HVEGBUS","197609","211.278","1","Conventional Hydroelectric Power Consumed by the Electric Power Sector","Trillion Btu"
"HVEGBUS","197610","218.257","1","Conventional Hydroelectric Power Consumed by the Electric Power Sector","Trillion Btu"
"HVEGBUS","197611","205.425","1","Conventional Hydroelectric Power Consumed by the Electric Power Sector","Trillion Btu"
"HVEGBUS","197612","209.733","1","Conventional Hydroelectric Power Consumed by the Electric Power Sector","Trillion Btu"
"HVEGBUS","197613","2942.893","1","Conventional Hydroelectric Power Consumed by the Electric Power Sector","Trillion Btu"
"HVEGBUS","197701","216.008","1","Conventional Hydroelectric Power Consumed by the Electric Power Sector","Trillion Btu"
"HVEGBUS","197702","158.089","1","Conventional Hydroelectric Power Consumed by the Electric Power Sector","Trillion Btu"
"HVEGBUS","197703","206.621","1","Conventional Hydroelectric Power Consumed by the Electric Power Sector","Trillion Btu"
"HVEGBUS","197704","194.53","1","Conventional Hydroelectric Power Consumed by the Electric Power Sector","Trillion Btu"
"HVEGBUS","197705","194.894","1","Conventional Hydroelectric Power Consumed by the Electric Power Sector","Trillion Btu"
"HVEGBUS","197706","179.756","1","Conventional Hydroelectric Power Consumed by the Electric Power Sector","Trillion Btu"
"HVEGBUS","197707","175.295","1","Conventional Hydroelectric Power Consumed by the Electric Power Sector","Trillion Btu"
"HVEGBUS","197708","174.392","1","Conventional Hydroelectric Power Consumed by the Electric Power Sector","Trillion Btu"
"HVEGBUS","197709","171.392","1","Conventional Hydroelectric Power Consumed by the Electric Power Sector","Trillion Btu"
"HVEGBUS","197710","179.367","1","Conventional Hydroelectric Power Consumed by the Electric Power Sector","Trillion Btu"
"HVEGBUS","197711","212.848","1","Conventional Hydroelectric Power Consumed by the Electric Power Sector","Trillion Btu"
"HVEGBUS","197712","237.461","1","Conventional Hydroelectric Power Consumed by the Electric Power Sector","Trillion Btu"
"HVEGBUS","197713","2300.652","1","Conventional Hydroelectric Power Consumed by the Electric Power Sector","Trillion Btu"
"HVEGBUS","197801","259.708","1","Conventional Hydroelectric Power Consumed by the Electric Power Sector","Trillion Btu"
"HVEGBUS","197802","230.125","1","Conventional Hydroelectric Power Consumed by the Electric Power Sector","Trillion Btu"
"HVEGBUS","197803","255.192","1","Conventional Hydroelectric Power Consumed by the Electric Power Sector","Trillion Btu"
"HVEGBUS","197804","262.192","1","Conventional Hydroelectric Power Consumed by the Electric Power Sector","Trillion Btu"
"HVEGBUS","197805","297.951","1","Conventional Hydroelectric Power Consumed by the Electric Power Sector","Trillion Btu"
