Date,Value (million kWh),Description
2016-01-01,25614.542,"Electricity Net Generation From Conventional Hydroelectric Power, All Sectors"
2016-02-01,24139.015,"Electricity Net Generation From Conventional Hydroelectric Power, All Sectors"
2016-03-01,27389.877,"Electricity Net Generation From Conventional Hydroelectric Power, All Sectors"
2016-04-01,25878.029,"Electricity Net Generation From Conventional Hydroelectric Power, All Sectors"
2016-05-01,25486.381,"Electricity Net Generation From Conventional Hydroelectric Power, All Sectors"
2016-06-01,23236.867,"Electricity Net Generation From Conventional Hydroelectric Power, All Sectors"
2016-07-01,21455.321,"Electricity Net Generation From Conventional Hydroelectric Power, All Sectors"
2016-08-01,19569.549,"Electricity Net Generation From Conventional Hydroelectric Power, All Sectors"
2016-09-01,16367.684,"Electricity Net Generation From Conventional Hydroelectric Power, All Sectors"
2016-10-01,17338.857,"Electricity Net Generation From Conventional Hydroelectric Power, All Sectors"
2016-11-01,18808.265,"Electricity Net Generation From Conventional Hydroelectric Power, All Sectors"
2016-12-01,22527.765,"Electricity Net Generation From Conventional Hydroelectric Power, All Sectors"
2017-01-01,26627.881,"Electricity Net Generation From Conventional Hydroelectric Power, All Sectors"
2017-02-01,23881.765,"Electricity Net Generation From Conventional Hydroelectric Power, All Sectors"
2017-03-01,29613.195,"Electricity Net Generation From Conventional Hydroelectric Power, All Sectors"
2017-04-01,29409.466,"Electricity Net Generation From Conventional Hydroelectric Power, All Sectors"
2017-05-01,32607.115,"Electricity Net Generation From Conventional Hydroelectric Power, All Sectors"
2017-06-01,30575.296,"Electricity Net Generation From Conventional Hydroelectric Power, All Sectors"
2017-07-01,26598.247,"Electricity Net Generation From Conventional Hydroelectric Power, All Sectors"
2017-08-01,22033.856,"Electricity Net Generation From Conventional Hydroelectric Power, All Sectors"
2017-09-01,19151.755,"Electricity Net Generation From Conventional Hydroelectric Power, All Sectors"
2017-10-01,17698.179,"Electricity Net Generation From Conventional Hydroelectric Power, All Sectors"
2017-11-01,19888.334,"Electricity Net Generation From Conventional Hydroelectric Power, All Sectors"
2017-12-01,22247.842,"Electricity Net Generation From Conventional Hydroelectric Power, All Sectors"
2018-01-01,25064.077,"Electricity Net Generation From Conventional Hydroelectric Power, All Sectors"
2018-02-01,24902.258,"Electricity Net Generation From Conventional Hydroelectric Power, All Sectors"
2018-03-01,25860.604,"Electricity Net Generation From Conventional Hydroelectric Power, All Sectors"
2018-04-01,28115.155,"Electricity Net Generation From Conventional Hydroelectric Power, All Sectors"
2018-05-01,30444.284,"Electricity Net Generation From Conventional Hydroelectric Power, All Sectors"
2018-06-01,27597.488,"Electricity Net Generation From Conventional Hydroelectric Power, All Sectors"
2018-07-01,25099.529,"Electricity Net Generation From Conventional Hydroelectric Power, All Sectors"
2018-08-01,22016.905,"Electricity Net Generation From Conventional Hydroelectric Power, All Sectors"
2018-09-01,19165.621,"Electricity Net Generation From Conventional Hydroelectric Power, All Sectors"
2018-10-01,19548.191,"Electricity Net Generation From Conventional Hydroelectric Power, All Sectors"
2018-11-01,21912.716,"Electricity Net Generation From Conventional Hydroelectric Power, All Sectors"
2018-12-01,22797.161,"Electricity Net Generation From Conventional Hydroelectric Power, All Sectors"
2019-01-01,24209.767,"Electricity Net Generation From Conventional Hydroelectric Power, All Sectors"
2019-02-01,21826.166,"Electricity Net Generation From Conventional Hydroelectric Power, All Sectors"
2019-03-01,25546.144,"Electricity Net Generation From Conventional Hydroelectric Power, All Sectors"
2019-04-01,25483.404,"Electricity Net Generation From Conventional Hydroelectric Power, All Sectors"
2019-05-01,30060.652,"Electricity Net Generation From Conventional Hydroelectric Power, All Sectors"
2019-06-01,26468.797,"Electricity Net Generation From Conventional Hydroelectric Power, All Sectors"
2019-07-01,23729.755,"Electricity Net Generation From Conventional Hydroelectric Power, All Sectors"
2019-08-01,21041.242,"Electricity Net Generation From Conventional Hydroelectric Power, All Sectors"
2019-09-01,16323.717,"Electricity Net Generation From Conventional Hydroelectric Power, All Sectors"
2019-10-01,16291.714,"Electricity Net Generation From Conventional Hydroelectric Power, All Sectors"
2019-11-01,20519.976,"Electricity Net Generation From Conventional Hydroelectric Power, All Sectors"
2019-12-01,22206.034,"Electricity Net Generation From Conventional Hydroelectric Power, All Sectors"
2005-01-01,3333.076,"Electricity Net Generation From Wood, All Sectors"
2005-02-01,3055.295,"Electricity Net Generation From Wood, All Sectors"
2005-03-01,3287.717,"Electricity Net Generation From Wood, All Sectors"
2005-04-01,3035.547,"Electricity Net Generation From Wood, All Sectors"
2005-05-01,3100.697,"Electricity Net Generation From Wood, All Sectors"
2005-06-01,3173.505,"Electricity Net Generation From Wood, All Sectors"
2005-07-01,3417.445,"Electricity Net Generation From Wood, All Sectors"
2005-08-01,3420.414,"Electricity Net Generation From Wood, All Sectors"
2005-09-01,3258.783,"Electricity Net Generation From Wood, All Sectors"
2005-10-01,3245.61,"Electricity Net Generation From Wood, All Sectors"
2005-11-01,3189.85,"Electricity Net Generation From Wood, All Sectors"
2005-12-01,3338.477,"Electricity Net Generation From Wood, All Sectors"
2006-01-01,3421.613,"Electricity Net Generation From Wood, All Sectors"
2006-02-01,3051.36,"Electricity Net Generation From Wood, All Sectors"
2006-03-01,3201.388,"Electricity Net Generation From Wood, All Sectors"
2006-04-01,2980.116,"Electricity Net Generation From Wood, All Sectors"
2006-05-01,3039.296,"Electricity Net Generation From Wood, All Sectors"
2006-06-01,3133.77,"Electricity Net Generation From Wood, All Sectors"
2006-07-01,3444.309,"Electricity Net Generation From Wood, All Sectors"
2006-08-01,3477.913,"Electricity Net Generation From Wood, All Sectors"
2006-09-01,3260.169,"Electricity Net Generation From Wood, All Sectors"
2006-10-01,3212.569,"Electricity Net Generation From Wood, All Sectors"
2006-11-01,3181.931,"Electricity Net Generation From Wood, All Sectors"
2006-12-01,3357.661,"Electricity Net Generation From Wood, All Sectors"
2007-01-01,3536.108,"Electricity Net Generation From Wood, All Sectors"
2007-02-01,3015.127,"Electricity Net Generation From Wood, All Sectors"
2007-03-01,3105.695,"Electricity Net Generation From Wood, All Sectors"
2007-04-01,3055.239,"Electricity Net Generation From Wood, All Sectors"
2007-05-01,3081.027,"Electricity Net Generation From Wood, All Sectors"
2007-06-01,3213.441,"Electricity Net Generation From Wood, All Sectors"
2007-07-01,3433.635,"Electricity Net Generation From Wood, All Sectors"
2007-08-01,3426.035,"Electricity Net Generation From Wood, All Sectors"
2007-09-01,3289.762,"Electricity Net Generation From Wood, All Sectors"
2007-10-01,3245.601,"Electricity Net Generation From Wood, All Sectors"
2007-11-01,3273.318,"Electricity Net Generation From Wood, All Sectors"
2007-12-01,3339.037,"Electricity Net Generation From Wood, All Sectors"
2008-01-01,3337.739,"Electricity Net Generation From Wood, All Sectors"
2008-02-01,3010.026,"Electricity Net Generation From Wood, All Sectors"
2008-03-01,3123.216,"Electricity Net Generation From Wood, All Sectors"
2008-04-01,2929.938,"Electricity Net Generation From Wood, All Sectors"
2008-05-01,2926.978,"Electricity Net Generation From Wood, All Sectors"
2008-06-01,3114.106,"Electricity Net Generation From Wood, All Sectors"
2008-07-01,3326.752,"Electricity Net Generation From Wood, All Sectors"
2008-08-01,3342.45,"Electricity Net Generation From Wood, All Sectors"
2008-09-01,3059.171,"Electricity Net Generation From Wood, All Sectors"
2008-10-01,3063.953,"Electricity Net Generation From Wood, All Sectors"
2008-11-01,3077.395,"Electricity Net Generation From Wood, All Sectors"
2008-12-01,2988.131,"Electricity Net Generation From Wood, All Sectors"
2009-01-01,3030.141,"Electricity Net Generation From Wood, All Sectors"
2009-02-01,2822.827,"Electricity Net Generation From Wood, All Sectors"
2009-03-01,2918.935,"Electricity Net Generation From Wood, All Sectors"
2009-04-01,2664.371,"Electricity Net Generation From Wood, All Sectors"
2009-05-01,2734.677,"Electricity Net Generation From Wood, All Sectors"
2009-06-01,2997.452,"Electricity Net Generation From Wood, All Sectors"
2009-07-01,3227.118,"Electricity Net Generation From Wood, All Sectors"
2009-08-01,3355.135,"Electricity Net Generation From Wood, All Sectors"
2009-09-01,3060.667,"Electricity Net Generation From Wood, All Sectors"
2009-10-01,3032.086,"Electricity Net Generation From Wood, All Sectors"
2009-11-01,3048.911,"Electricity Net Generation From Wood, All Sectors"
2009-12-01,3157.818,"Electricity Net Generation From Wood, All Sectors"
2010-01-01,3126.163,"Electricity Net Generation From Wood, All Sectors"
2010-02-01,2894.564,"Electricity Net Generation From Wood, All Sectors"
2010-03-01,3090.278,"Electricity Net Generation From Wood, All Sectors"
2010-04-01,2932.095,"Electricity Net Generation From Wood, All Sectors"
2010-05-01,2892.948,"Electricity Net Generation From Wood, All Sectors"
2010-06-01,3093.706,"Electricity Net Generation From Wood, All Sectors"
2010-07-01,3308.174,"Electricity Net Generation From Wood, All Sectors"
2010-08-01,3318.726,"Electricity Net Generation From Wood, All Sectors"
2010-09-01,3157.071,"Electricity Net Generation From Wood, All Sectors"
2010-10-01,3002.77,"Electricity Net Generation From Wood, All Sectors"
2010-11-01,3080.205,"Electricity Net Generation From Wood, All Sectors"
2010-12-01,3275.46,"Electricity Net Generation From Wood, All Sectors"
2011-01-01,3289.926,"Electricity Net Generation From Wood, All Sectors"
2011-02-01,2937.029,"Electricity Net Generation From Wood, All Sectors"
2011-03-01,3080.551,"Electricity Net Generation From Wood, All Sectors"
2011-04-01,2797.961,"Electricity Net Generation From Wood, All Sectors"
2011-05-01,2794.342,"Electricity Net Generation From Wood, All Sectors"
2011-06-01,3230.061,"Electricity Net Generation From Wood, All Sectors"
2011-07-01,3361.934,"Electricity Net Generation From Wood, All Sectors"
2011-08-01,3383.756,"Electricity Net Generation From Wood, All Sectors"
2011-09-01,3178.464,"Electricity Net Generation From Wood, All Sectors"
2011-10-01,2953.911,"Electricity Net Generation From Wood, All Sectors"
2011-11-01,3087.888,"Electricity Net Generation From Wood, All Sectors"
2011-12-01,3353.243,"Electricity Net Generation From Wood, All Sectors"
2012-01-01,3313.682,"Electricity Net Generation From Wood, All Sectors"
2012-02-01,3111.455,"Electricity Net Generation From Wood, All Sectors"
2012-03-01,3033.985,"Electricity Net Generation From Wood, All Sectors"
2012-04-01,2703.907,"Electricity Net Generation From Wood, All Sectors"
2012-05-01,2937.316,"Electricity Net Generation From Wood, All Sectors"
2012-06-01,3081.189,"Electricity Net Generation From Wood, All Sectors"
2012-07-01,3351.847,"Electricity Net Generation From Wood, All Sectors"
2012-08-01,3370.279,"Electricity Net Generation From Wood, All Sectors"
2012-09-01,3227.466,"Electricity Net Generation From Wood, All Sectors"
2012-10-01,3112.879,"Electricity Net Generation From Wood, All Sectors"
2012-11-01,3190.3,"Electricity Net Generation From Wood, All Sectors"
2012-12-01,3364.827,"Electricity Net Generation From Wood, All Sectors"
2013-01-01,3399.749,"Electricity Net Generation From Wood, All Sectors"
2013-02-01,3083.028,"Electricity Net Generation From Wood, All Sectors"
2013-03-01,3299.772,"Electricity Net Generation From Wood, All Sectors"
2013-04-01,2863.139,"Electricity Net Generation From Wood, All Sectors"
2013-05-01,3173.934,"Electricity Net Generation From Wood, All Sectors"
2013-06-01,3330.231,"Electricity Net Generation From Wood, All Sectors"
2013-07-01,3536.197,"Electricity Net Generation From Wood, All Sectors"
2013-08-01,3634.034,"Electricity Net Generation From Wood, All Sectors"
2013-09-01,3353.389,"Electricity Net Generation From Wood, All Sectors"
2013-10-01,3340.975,"Electricity Net Generation From Wood, All Sectors"
2013-11-01,3407.005,"Electricity Net Generation From Wood, All Sectors"
2013-12-01,3606.085,"Electricity Net Generation From Wood, All Sectors"
2014-01-01,3626.348,"Electricity Net Generation From Wood, All Sectors"
2014-02-01,3264.603,"Electricity Net Generation From Wood, All Sectors"
2014-03-01,3609.094,"Electricity Net Generation From Wood, All Sectors"
2014-04-01,3230.046,"Electricity Net Generation From Wood, All Sectors"
2014-05-01,3289.759,"Electricity Net Generation From Wood, All Sectors"
2014-06-01,3622.271,"Electricity Net Generation From Wood, All Sectors"
2014-07-01,3807.424,"Electricity Net Generation From Wood, All Sectors"
2014-08-01,3761.241,"Electricity Net Generation From Wood, All Sectors"
2014-09-01,3462.226,"Electricity Net Generation From Wood, All Sectors"
2014-10-01,3422.229,"Electricity Net Generation From Wood, All Sectors"
2014-11-01,3507.919,"Electricity Net Generation From Wood, All Sectors"
2014-12-01,3736.565,"Electricity Net Generation From Wood, All Sectors"
2015-01-01,3716.868,"Electricity Net Generation From Wood, All Sectors"
2015-02-01,3371.942,"Electricity Net Generation From Wood, All Sectors"
2015-03-01,3456.839,"Electricity Net Generation From Wood, All Sectors"
2015-04-01,3246.405,"Electricity Net Generation From Wood, All Sectors"
2015-05-01,3337.808,"Electricity Net Generation From Wood, All Sectors"
2015-06-01,3496.103,"Electricity Net Generation From Wood, All Sectors"
2015-07-01,3806.479,"Electricity Net Generation From Wood, All Sectors"
2015-08-01,3788.241,"Electricity Net Generation From Wood, All Sectors"
2015-09-01,3450.341,"Electricity Net Generation From Wood, All Sectors"
2015-10-01,3252.216,"Electricity Net Generation From Wood, All Sectors"
2015-11-01,3417.873,"Electricity Net Generation From Wood, All Sectors"
2015-12-01,3587.391,"Electricity Net Generation From Wood, All Sectors"
2016-01-01,3600.264,"Electricity Net Generation From Wood, All Sectors"
2016-02-01,3406.39,"Electricity Net Generation From Wood, All Sectors"
2016-03-01,3402.833,"Electricity Net Generation From Wood, All Sectors"
2016-04-01,2967.005,"Electricity Net Generation From Wood, All Sectors"
2016-05-01,3187.128,"Electricity Net Generation From Wood, All Sectors"
2016-06-01,3413.563,"Electricity Net Generation From Wood, All Sectors"
2016-07-01,3657.698,"Electricity Net Generation From Wood, All Sectors"
2016-08-01,3722.236,"Electricity Net Generation From Wood, All Sectors"
2016-09-01,3407.358,"Electricity Net Generation From Wood, All Sectors"
2016-10-01,3176.083,"Electricity Net Generation From Wood, All Sectors"
2016-11-01,3391.222,"Electricity Net Generation From Wood, All Sectors"
2016-12-01,3615.449,"Electricity Net Generation From Wood, All Sectors"
2017-01-01,3502.178,"Electricity Net Generation From Wood, All Sectors"
2017-02-01,3185.521,"Electricity Net Generation From Wood, All Sectors"
2017-03-01,3455.802,"Electricity Net Generation From Wood, All Sectors"
2017-04-01,3146.376,"Electricity Net Generation From Wood, All Sectors"
2017-05-01,3188.454,"Electricity Net Generation From Wood, All Sectors"
2017-06-01,3437.011,"Electricity Net Generation From Wood, All Sectors"
2017-07-01,3702.896,"Electricity Net Generation From Wood, All Sectors"
2017-08-01,3750.568,"Electricity Net Generation From Wood, All Sectors"
2017-09-01,3291.751,"Electricity Net Generation From Wood, All Sectors"
2017-10-01,3303.263,"Electricity Net Generation From Wood, All Sectors"
2017-11-01,3426.085,"Electricity Net Generation From Wood, All Sectors"
2017-12-01,3733.613,"Electricity Net Generation From Wood, All Sectors"
2018-01-01,3685.99,"Electricity Net Generation From Wood, All Sectors"
2018-02-01,3234.951,"Electricity Net Generation From Wood, All Sectors"
2018-03-01,3547.442,"Electricity Net Generation From Wood, All Sectors"
2018-04-01,3101.87,"Electricity Net Generation From Wood, All Sectors"
2018-05-01,3351.715,"Electricity Net Generation From Wood, All Sectors"
2018-06-01,3470.749,"Electricity Net Generation From Wood, All Sectors"
2018-07-01,3749.456,"Electricity Net Generation From Wood, All Sectors"
2018-08-01,3629.802,"Electricity Net Generation From Wood, All Sectors"
2018-09-01,3280.616,"Electricity Net Generation From Wood, All Sectors"
2018-10-01,3215.944,"Electricity Net Generation From Wood, All Sectors"
2018-11-01,3263.571,"Electricity Net Generation From Wood, All Sectors"
2018-12-01,3404.054,"Electricity Net Generation From Wood, All Sectors"
2019-01-01,3533.21,"Electricity Net Generation From Wood, All Sectors"
2019-02-01,3165.172,"Electricity Net Generation From Wood, All Sectors"
2019-03-01,3257,"Electricity Net Generation From Wood, All Sectors"
2019-04-01,3027.119,"Electricity Net Generation From Wood, All Sectors"
2019-05-01,3365.113,"Electricity Net Generation From Wood, All Sectors"
2019-06-01,3338.682,"Electricity Net Generation From Wood, All Sectors"
2019-07-01,3569.273,"Electricity Net Generation From Wood, All Sectors"
2019-08-01,3717.001,"Electricity Net Generation From Wood, All Sectors"
2019-09-01,3282.4,"Electricity Net Generation From Wood, All Sectors"
2019-10-01,3081.458,"Electricity Net Generation From Wood, All Sectors"
2019-11-01,3106.903,"Electricity Net Generation From Wood, All Sectors"
2019-12-01,3407.44,"Electricity Net Generation From Wood, All Sectors"
2005-01-01,1278.347,"Electricity Net Generation From Waste, All Sectors"
2005-02-01,1123.407,"Electricity Net Generation From Waste, All Sectors"
2005-03-01,1277.929,"Electricity Net Generation From Waste, All Sectors"
2005-04-01,1222.542,"Electricity Net Generation From Waste, All Sectors"
2005-05-01,1351.152,"Electricity Net Generation From Waste, All Sectors"
2005-06-01,1329.134,"Electricity Net Generation From Waste, All Sectors"
2005-07-01,1381.227,"Electricity Net Generation From Waste, All Sectors"
2005-08-01,1348.025,"Electricity Net Generation From Waste, All Sectors"
2005-09-01,1283.007,"Electricity Net Generation From Waste, All Sectors"
2005-10-01,1205.376,"Electricity Net Generation From Waste, All Sectors"
2005-11-01,1290.21,"Electricity Net Generation From Waste, All Sectors"
2005-12-01,1330.037,"Electricity Net Generation From Waste, All Sectors"
2006-01-01,1388.234,"Electricity Net Generation From Waste, All Sectors"
2006-02-01,1270.35,"Electricity Net Generation From Waste, All Sectors"
2006-03-01,1344.34,"Electricity Net Generation From Waste, All Sectors"
2006-04-01,1226.903,"Electricity Net Generation From Waste, All Sectors"
2006-05-01,1371.355,"Electricity Net Generation From Waste, All Sectors"
2006-06-01,1328.039,"Electricity Net Generation From Waste, All Sectors"
2006-07-01,1399.065,"Electricity Net Generation From Waste, All Sectors"
2006-08-01,1388.888,"Electricity Net Generation From Waste, All Sectors"
2006-09-01,1307.632,"Electricity Net Generation From Waste, All Sectors"
2006-10-01,1332.484,"Electricity Net Generation From Waste, All Sectors"
2006-11-01,1358.822,"Electricity Net Generation From Waste, All Sectors"
2006-12-01,1382.411,"Electricity Net Generation From Waste, All Sectors"
2007-01-01,1370.712,"Electricity Net Generation From Waste, All Sectors"
2007-02-01,1200.214,"Electricity Net Generation From Waste, All Sectors"
2007-03-01,1373.07,"Electricity Net Generation From Waste, All Sectors"
2007-04-01,1253.621,"Electricity Net Generation From Waste, All Sectors"
2007-05-01,1348.72,"Electricity Net Generation From Waste, All Sectors"
2007-06-01,1392.436,"Electricity Net Generation From Waste, All Sectors"
2007-07-01,1443.056,"Electricity Net Generation From Waste, All Sectors"
2007-08-01,1439.539,"Electricity Net Generation From Waste, All Sectors"
2007-09-01,1400.205,"Electricity Net Generation From Waste, All Sectors"
2007-10-01,1425.648,"Electricity Net Generation From Waste, All Sectors"
2007-11-01,1425.131,"Electricity Net Generation From Waste, All Sectors"
2007-12-01,1452.203,"Electricity Net Generation From Waste, All Sectors"
2008-01-01,1406.708,"Electricity Net Generation From Waste, All Sectors"
2008-02-01,1364.461,"Electricity Net Generation From Waste, All Sectors"
2008-03-01,1472.452,"Electricity Net Generation From Waste, All Sectors"
2008-04-01,1503.519,"Electricity Net Generation From Waste, All Sectors"
2008-05-01,1474.908,"Electricity Net Generation From Waste, All Sectors"
2008-06-01,1501.889,"Electricity Net Generation From Waste, All Sectors"
2008-07-01,1608.425,"Electricity Net Generation From Waste, All Sectors"
2008-08-01,1529.496,"Electricity Net Generation From Waste, All Sectors"
2008-09-01,1426.644,"Electricity Net Generation From Waste, All Sectors"
2008-10-01,1489.617,"Electricity Net Generation From Waste, All Sectors"
2008-11-01,1449.293,"Electricity Net Generation From Waste, All Sectors"
2008-12-01,1506.347,"Electricity Net Generation From Waste, All Sectors"
2009-01-01,1462.399,"Electricity Net Generation From Waste, All Sectors"
2009-02-01,1357.453,"Electricity Net Generation From Waste, All Sectors"
2009-03-01,1553.092,"Electricity Net Generation From Waste, All Sectors"
2009-04-01,1542.336,"Electricity Net Generation From Waste, All Sectors"
2009-05-01,1522.219,"Electricity Net Generation From Waste, All Sectors"
2009-06-01,1558.397,"Electricity Net Generation From Waste, All Sectors"
2009-07-01,1628.483,"Electricity Net Generation From Waste, All Sectors"
2009-08-01,1603.78,"Electricity Net Generation From Waste, All Sectors"
2009-09-01,1501.263,"Electricity Net Generation From Waste, All Sectors"
2009-10-01,1533.186,"Electricity Net Generation From Waste, All Sectors"
2009-11-01,1572.312,"Electricity Net Generation From Waste, All Sectors"
2009-12-01,1607.676,"Electricity Net Generation From Waste, All Sectors"
2010-01-01,1502.763,"Electricity Net Generation From Waste, All Sectors"
2010-02-01,1382.241,"Electricity Net Generation From Waste, All Sectors"
2010-03-01,1591.67,"Electricity Net Generation From Waste, All Sectors"
2010-04-01,1558.147,"Electricity Net Generation From Waste, All Sectors"
2010-05-01,1576.629,"Electricity Net Generation From Waste, All Sectors"
2010-06-01,1626.765,"Electricity Net Generation From Waste, All Sectors"
2010-07-01,1640.073,"Electricity Net Generation From Waste, All Sectors"
2010-08-01,1642.191,"Electricity Net Generation From Waste, All Sectors"
2010-09-01,1574.687,"Electricity Net Generation From Waste, All Sectors"
2010-10-01,1547.063,"Electricity Net Generation From Waste, All Sectors"
2010-11-01,1625.338,"Electricity Net Generation From Waste, All Sectors"
2010-12-01,1649.639,"Electricity Net Generation From Waste, All Sectors"
2011-01-01,1514.838,"Electricity Net Generation From Waste, All Sectors"
2011-02-01,1426.672,"Electricity Net Generation From Waste, All Sectors"
2011-03-01,1565.031,"Electricity Net Generation From Waste, All Sectors"
2011-04-01,1502.544,"Electricity Net Generation From Waste, All Sectors"
2011-05-01,1563.179,"Electricity Net Generation From Waste, All Sectors"
2011-06-01,1631.657,"Electricity Net Generation From Waste, All Sectors"
2011-07-01,1689.74,"Electricity Net Generation From Waste, All Sectors"
2011-08-01,1692.393,"Electricity Net Generation From Waste, All Sectors"
2011-09-01,1589.088,"Electricity Net Generation From Waste, All Sectors"
2011-10-01,1630.97,"Electricity Net Generation From Waste, All Sectors"
2011-11-01,1684.402,"Electricity Net Generation From Waste, All Sectors"
2011-12-01,1731.249,"Electricity Net Generation From Waste, All Sectors"
2012-01-01,1601.15,"Electricity Net Generation From Waste, All Sectors"
2012-02-01,1503.968,"Electricity Net Generation From Waste, All Sectors"
2012-03-01,1623.477,"Electricity Net Generation From Waste, All Sectors"
2012-04-01,1583.228,"Electricity Net Generation From Waste, All Sectors"
2012-05-01,1653.687,"Electricity Net Generation From Waste, All Sectors"
2012-06-01,1611.538,"Electricity Net Generation From Waste, All Sectors"
2012-07-01,1721.233,"Electricity Net Generation From Waste, All Sectors"
2012-08-01,1725.555,"Electricity Net Generation From Waste, All Sectors"
2012-09-01,1626.094,"Electricity Net Generation From Waste, All Sectors"
2012-10-01,1715.799,"Electricity Net Generation From Waste, All Sectors"
2012-11-01,1684.004,"Electricity Net Generation From Waste, All Sectors"
2012-12-01,1773.304,"Electricity Net Generation From Waste, All Sectors"
2013-01-01,1688.273,"Electricity Net Generation From Waste, All Sectors"
2013-02-01,1502.89,"Electricity Net Generation From Waste, All Sectors"
2013-03-01,1757.147,"Electricity Net Generation From Waste, All Sectors"
2013-04-01,1680.538,"Electricity Net Generation From Waste, All Sectors"
2013-05-01,1781.204,"Electricity Net Generation From Waste, All Sectors"
2013-06-01,1726.958,"Electricity Net Generation From Waste, All Sectors"
2013-07-01,1797.266,"Electricity Net Generation From Waste, All Sectors"
2013-08-01,1847.46,"Electricity Net Generation From Waste, All Sectors"
2013-09-01,1715.768,"Electricity Net Generation From Waste, All Sectors"
2013-10-01,1730.517,"Electricity Net Generation From Waste, All Sectors"
2013-11-01,1765.37,"Electricity Net Generation From Waste, All Sectors"
2013-12-01,1837.098,"Electricity Net Generation From Waste, All Sectors"
2014-01-01,1849.523,"Electricity Net Generation From Waste, All Sectors"
2014-02-01,1686.438,"Electricity Net Generation From Waste, All Sectors"
2014-03-01,1850.942,"Electricity Net Generation From Waste, All Sectors"
2014-04-01,1809.578,"Electricity Net Generation From Waste, All Sectors"
2014-05-01,1849.164,"Electricity Net Generation From Waste, All Sectors"
2014-06-01,1826.34,"Electricity Net Generation From Waste, All Sectors"
2014-07-01,1942.098,"Electricity Net Generation From Waste, All Sectors"
2014-08-01,1880.356,"Electricity Net Generation From Waste, All Sectors"
2014-09-01,1771.584,"Electricity Net Generation From Waste, All Sectors"
2014-10-01,1726.276,"Electricity Net Generation From Waste, All Sectors"
2014-11-01,1690.518,"Electricity Net Generation From Waste, All Sectors"
2014-12-01,1766.901,"Electricity Net Generation From Waste, All Sectors"
2015-01-01,1724.77,"Electricity Net Generation From Waste, All Sectors"
2015-02-01,1524.176,"Electricity Net Generation From Waste, All Sectors"
2015-03-01,1712.288,"Electricity Net Generation From Waste, All Sectors"
2015-04-01,1729.256,"Electricity Net Generation From Waste, All Sectors"
2015-05-01,1798.756,"Electricity Net Generation From Waste, All Sectors"
2015-06-01,1784.078,"Electricity Net Generation From Waste, All Sectors"
2015-07-01,1988.778,"Electricity Net Generation From Waste, All Sectors"
2015-08-01,1921.428,"Electricity Net Generation From Waste, All Sectors"
2015-09-01,1805.487,"Electricity Net Generation From Waste, All Sectors"
2015-10-01,1843.156,"Electricity Net Generation From Waste, All Sectors"
2015-11-01,1901.943,"Electricity Net Generation From Waste, All Sectors"
2015-12-01,1969.256,"Electricity Net Generation From Waste, All Sectors"
2016-01-01,1794.55,"Electricity Net Generation From Waste, All Sectors"
2016-02-01,1708.303,"Electricity Net Generation From Waste, All Sectors"
2016-03-01,1809.218,"Electricity Net Generation From Waste, All Sectors"
2016-04-01,1811.485,"Electricity Net Generation From Waste, All Sectors"
2016-05-01,1909.011,"Electricity Net Generation From Waste, All Sectors"
2016-06-01,1794.466,"Electricity Net Generation From Waste, All Sectors"
2016-07-01,1840.408,"Electricity Net Generation From Waste, All Sectors"
2016-08-01,1860.309,"Electricity Net Generation From Waste, All Sectors"
2016-09-01,1756.636,"Electricity Net Generation From Waste, All Sectors"
2016-10-01,1693.104,"Electricity Net Generation From Waste, All Sectors"
2016-11-01,1891.249,"Electricity Net Generation From Waste, All Sectors"
2016-12-01,1944.492,"Electricity Net Generation From Waste, All Sectors"
2017-01-01,1897.391,"Electricity Net Generation From Waste, All Sectors"
2017-02-01,1697.118,"Electricity Net Generation From Waste, All Sectors"
2017-03-01,1847.569,"Electricity Net Generation From Waste, All Sectors"
2017-04-01,1741.69,"Electricity Net Generation From Waste, All Sectors"
2017-05-01,1849.796,"Electricity Net Generation From Waste, All Sectors"
2017-06-01,1796.52,"Electricity Net Generation From Waste, All Sectors"
2017-07-01,1823.779,"Electricity Net Generation From Waste, All Sectors"
2017-08-01,1824.891,"Electricity Net Generation From Waste, All Sectors"
2017-09-01,1702.546,"Electricity Net Generation From Waste, All Sectors"
2017-10-01,1727.853,"Electricity Net Generation From Waste, All Sectors"
2017-11-01,1804.841,"Electricity Net Generation From Waste, All Sectors"
2017-12-01,1895.898,"Electricity Net Generation From Waste, All Sectors"
2018-01-01,1816.607,"Electricity Net Generation From Waste, All Sectors"
2018-02-01,1716.064,"Electricity Net Generation From Waste, All Sectors"
2018-03-01,1821.764,"Electricity Net Generation From Waste, All Sectors"
2018-04-01,1725.698,"Electricity Net Generation From Waste, All Sectors"
2018-05-01,1731.562,"Electricity Net Generation From Waste, All Sectors"
2018-06-01,1719.995,"Electricity Net Generation From Waste, All Sectors"
2018-07-01,1750.031,"Electricity Net Generation From Waste, All Sectors"
2018-08-01,1757.519,"Electricity Net Generation From Waste, All Sectors"
2018-09-01,1589.557,"Electricity Net Generation From Waste, All Sectors"
2018-10-01,1743.386,"Electricity Net Generation From Waste, All Sectors"
2018-11-01,1724.295,"Electricity Net Generation From Waste, All Sectors"
2018-12-01,1799.287,"Electricity Net Generation From Waste, All Sectors"
2019-01-01,1612.458,"Electricity Net Generation From Waste, All Sectors"
